term,estimate,std.error,statistic,p.value
(Intercept),702909362.760316,118124297.01784155,5.950590864927207,1.5124254544296356e-8
AÑO_NUM,-345929.0538756199,58360.99828351866,-5.9274012448363385,1.699907059317137e-8
sueldo_tarifa_subte_priv,56.87740177868269,14.678108754490381,3.8749816294474955,1.5262822678003526e-4
LINEALINEA_B,4758508.077888414,167052982.88872215,0.028485023108256416,0.9773091224206625
LINEALINEA SUBTE C,-253792464.61712828,167052982.8887146,-1.5192333607487678,0.13058346869875548
LINEALINEA SUBTE D,322842454.7857002,167052982.88883358,1.9325752177711049,0.05497052772132241
LINEALINEA SUBTE E,-474568496.09491956,167052982.8886476,-2.8408262330236416,0.005056514173824201
LINEALINEA SUBTE H,-400297599.9821015,167052982.8887479,-2.3962313815652565,0.017663193615495548
AÑO_NUM:LINEALINEA_B,-2124.3874519800765,82534.91528633455,-0.025739257677917737,0.9794958592613552
AÑO_NUM:LINEALINEA SUBTE C,125057.4179335252,82534.91528633062,1.5152062312013679,0.1315994011979479
AÑO_NUM:LINEALINEA SUBTE D,-159511.12464427113,82534.91528638949,-1.9326502497855655,0.05496120362821801
AÑO_NUM:LINEALINEA SUBTE E,233784.35497023037,82534.91528629759,2.8325509774775663,0.005183028503931338
AÑO_NUM:LINEALINEA SUBTE H,197167.00481624802,82534.91528634707,2.388892072308983,0.01800782797825454
sueldo_tarifa_subte_priv:LINEALINEA_B,14.07523852931634,20.757980470598927,0.6780639643269801,0.49866397886839675
sueldo_tarifa_subte_priv:LINEALINEA SUBTE C,-24.917469079122792,20.75798047059824,-1.2003802159085795,0.2316815858611705
sueldo_tarifa_subte_priv:LINEALINEA SUBTE D,15.075402444145539,20.757980470602483,0.7262461040222757,0.4686985162227548
sueldo_tarifa_subte_priv:LINEALINEA SUBTE E,-39.75968940000979,20.757980470595434,-1.9153929476102498,0.05714106041667159
sueldo_tarifa_subte_priv:LINEALINEA SUBTE H,-42.90707694614568,20.757980470599776,-2.0670159607730825,0.040266556387141515
